period_start,analytical_period,measure_id,measure_name,measure_value
2023-12-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,91.6
2023-12-01,recovery,M076,Count_FinishedCourseTreatment,47781.0
2023-12-01,recovery,M192,Percentage_Recovery,48.5
2023-12-01,recovery,M195,Percentage_ReliableRecovery,45.4
2024-01-01,recovery,M001,Count_ReferralsReceived,176760.0
2024-01-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,92.1
2024-01-01,recovery,M076,Count_FinishedCourseTreatment,58692.0
2024-01-01,recovery,M192,Percentage_Recovery,49.8
2024-01-01,recovery,M195,Percentage_ReliableRecovery,46.8
2024-02-01,recovery,M001,Count_ReferralsReceived,163419.0
2024-02-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,92.3
2024-02-01,recovery,M076,Count_FinishedCourseTreatment,55117.0
2024-02-01,recovery,M192,Percentage_Recovery,51.2
2024-02-01,recovery,M195,Percentage_ReliableRecovery,47.9
2024-03-01,recovery,M001,Count_ReferralsReceived,150636.0
2024-03-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,92.3
2024-03-01,recovery,M076,Count_FinishedCourseTreatment,53593.0
2024-03-01,recovery,M192,Percentage_Recovery,50.9
2024-03-01,recovery,M195,Percentage_ReliableRecovery,47.7
2024-04-01,recovery,M001,Count_ReferralsReceived,151975.0
2024-04-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,92.7
2024-04-01,recovery,M076,Count_FinishedCourseTreatment,57075.0
2024-04-01,recovery,M192,Percentage_Recovery,49.6
2024-04-01,recovery,M195,Percentage_ReliableRecovery,46.7
2024-05-01,recovery,M001,Count_ReferralsReceived,147369.0
2024-05-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,92.2
2024-05-01,recovery,M076,Count_FinishedCourseTreatment,56960.0
2024-05-01,recovery,M192,Percentage_Recovery,50.8
2024-05-01,recovery,M195,Percentage_ReliableRecovery,47.9
2024-06-01,recovery,M001,Count_ReferralsReceived,135213.0
2024-06-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,92.4
2024-06-01,recovery,M076,Count_FinishedCourseTreatment,54080.0
2024-06-01,recovery,M192,Percentage_Recovery,50.9
2024-06-01,recovery,M195,Percentage_ReliableRecovery,48.0
2024-07-01,recovery,M001,Count_ReferralsReceived,151365.0
2024-07-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,90.7
2024-07-01,recovery,M076,Count_FinishedCourseTreatment,62036.0
2024-07-01,recovery,M192,Percentage_Recovery,50.4
2024-07-01,recovery,M195,Percentage_ReliableRecovery,47.3
2024-08-01,recovery,M001,Count_ReferralsReceived,136679.0
2024-08-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,91.9
2024-08-01,recovery,M076,Count_FinishedCourseTreatment,55485.0
2024-08-01,recovery,M192,Percentage_Recovery,50.1
2024-08-01,recovery,M195,Percentage_ReliableRecovery,47.1
